ID,English_Term,Telugu_Term_Raw,Telugu_Term_Clean,English_Definition,Telugu_Definition_Raw,Telugu_Definition_Clean
16,Hash Function,హాష్ ప్రమేయం,హాష్ ప్రమేయం,A mathematical function that converts input data into a fixed-length value called a hash.,ఒక గణిత ప్రమేయం అది ఇన్‌పుట్ డాటాను ఒక Hah అని పిలువబడే నిర్ధిష్ట ఆధారిత విలువకు బదిలీ చేస్తుంది,ఒక గణిత ప్రమేయం అది ఇన్‌పుట్ డాటాను ఒక అని పిలువబడే నిర్ధిష్ట ఆధారిత విలువకు బదిలీ చేస్తుంది
17,Firewall,ఫైర్వాల్Comment,ఫైర్వాల్,A device or program that controls network traffic to or from a system according to security rules.,భద్రతా నియమాల ప్రకారం నెట్‌వర్క్‌ను ఒక పరికరం లేదా కార్యక్రమం నియంత్రిస్తుంది.,భద్రతా నియమాల ప్రకారం నెట్‌వర్క్‌ను ఒక పరికరం లేదా కార్యక్రమం నియంత్రిస్తుంది.
18,Intrusion Detection System,ఇంటర్‌పోలేటెడ్ గుర్తింపు వ్యవస్థ,ఇంటర్‌పోలేటెడ్ గుర్తింపు వ్యవస్థ,A system that monitors network or system activity to detect possible unauthorized or malicious activity.,నిష్పక్షపాతంగా లేదా దురుద్దేశంగా జరుగుతున్న కార్యకలాపాలను గుర్తించడానికి నెట్‌వర్క్‌ను లేదా వ్యవస్థ కార్యకలాపాల్ని మానిటర్‌ చేసే వ్యవస్థ.,నిష్పక్షపాతంగా లేదా దురుద్దేశంగా జరుగుతున్న కార్యకలాపాలను గుర్తించడానికి నెట్‌వర్క్‌ను లేదా వ్యవస్థ కార్యకలాపాల్ని మానిటర్‌ చేసే వ్యవస్థ.
19,Intrusion Prevention System,ఇంట్రెంట్ ఎగ్జిక్యూటివ్ సిస్టమ్Name,ఇంట్రెంట్ ఎగ్జిక్యూటివ్ సిస్టమ్,A system that detects malicious activity and can take action to block or prevent it.,"ఆ ప్రక్రియను ఆపడానికి, ఆపేందుకు చర్య తీసుకోవచ్చు.","ఆ ప్రక్రియను ఆపడానికి, ఆపేందుకు చర్య తీసుకోవచ్చు."
20,Virtual Private Network,వర్చ్యువల్ ಖಾಸಗಿ నెట్వర్‍క్Name,వర్చ్యువల్ ಖಾಸಗಿ నెట్వర్‍క్,A technology that creates a protected connection over a public or untrusted network.,"టెక్నాలజీ, వెబ్‌ నెట్‌వర్క్‌ల మీద రక్షణనిచ్చే సాంకేతిక విజ్ఞానం.","టెక్నాలజీ, వెబ్‌ నెట్‌వర్క్‌ల మీద రక్షణనిచ్చే సాంకేతిక విజ్ఞానం."
21,Malware,మలభ్రమణQuery,మలభ్రమణ,Software or firmware designed or used to perform unauthorized actions that can harm a system or compromise its security.,"కొన్ని దేశాల్లో, ఒక దేశంలోని సంస్థను సంప్రదించడం చాలా కష్టంగా ఉంటుంది.","కొన్ని దేశాల్లో, ఒక దేశంలోని సంస్థను సంప్రదించడం చాలా కష్టంగా ఉంటుంది."
22,Virus,నారింజ ఎరుపుcolor,నారింజ ఎరుపు,Malicious software that can attach itself to other programs or files and replicate when the infected host is executed.,ఆక్యుపంక్చర్‌ను ఉపయోగించండి.,ఆక్యుపంక్చర్‌ను ఉపయోగించండి.
23,Worm,బూమ్Name,బూమ్,Malicious software that can self-propagate across systems or networks without requiring a host program.,మీ సాఫ్ట్‍వేర్‌ను మీ ఆపరేటింగ్‌ ప్రోగ్రామ్‌ అవసరం లేకుండా సిస్టమ్లు లేదా నెట్‌వర్క్‌లను స్వీయంగా మార్చగలదు.,మీ సాఫ్ట్‍వేర్‌ను మీ ఆపరేటింగ్‌ ప్రోగ్రామ్‌ అవసరం లేకుండా సిస్టమ్లు లేదా నెట్‌వర్క్‌లను స్వీయంగా మార్చగలదు.
24,Trojan Horse,రామోత్‌,రామోత్‌,Malicious software that appears legitimate or useful but performs unauthorized or harmful actions.,అది సరైనదేనా అది ఉపయోగకరమైనదే.,అది సరైనదేనా అది ఉపయోగకరమైనదే.
25,Ransomware,విమోచనక్రయధన బృందం,విమోచనక్రయధన బృందం,Malware that restricts access to data or systems and typically demands payment to restore access.,"కొంతమందైతే, కొంత డబ్బును కూడా సంపాదించాల్సి ఉంటుంది.","కొంతమందైతే, కొంత డబ్బును కూడా సంపాదించాల్సి ఉంటుంది."
26,Spyware,తృణీకారిQuery,తృణీకారి,"Software designed to secretly collect information about users, systems, or activities.","మీ వెబ్‌సైట్‌లో ఉన్న సమాచారం రహస్యంగా, వినియోగదారులకు, వ్యవస్థలకు, కార్యకలాపాలకు సంబంధించిన సమాచారం సేకరించబడేలా సాఫ్ట్‌వేర్‌ రూపొందించబడింది.","మీ వెబ్‌సైట్‌లో ఉన్న సమాచారం రహస్యంగా, వినియోగదారులకు, వ్యవస్థలకు, కార్యకలాపాలకు సంబంధించిన సమాచారం సేకరించబడేలా సాఫ్ట్‌వేర్‌ రూపొందించబడింది."
27,Phishing,ఫిష్సింగ్,ఫిష్సింగ్,A social engineering technique that uses deceptive messages or websites to trick people into revealing sensitive information.,తప్పుడు సమాచారంతో లేదా వెబ్‌సైట్‌లతో ప్రజల్ని మోసం చేసే సోషల్‌ ఇంజనీరింగ్‌ టెక్నాలజీ.,తప్పుడు సమాచారంతో లేదా వెబ్‌సైట్‌లతో ప్రజల్ని మోసం చేసే సోషల్‌ ఇంజనీరింగ్‌ టెక్నాలజీ.
28,Spear Phishing,స్పెయిర్ ఫిష్,స్పెయిర్ ఫిష్,"A targeted phishing attack designed for a specific person, organization, or group.","ఒక ప్రత్యేక వ్యక్తి కోసం, సంస్థ కోసం లేదా గుంపు కోసం రూపొందించబడిన దోపిడీ దాడి.","ఒక ప్రత్యేక వ్యక్తి కోసం, సంస్థ కోసం లేదా గుంపు కోసం రూపొందించబడిన దోపిడీ దాడి."
29,Brute Force Attack,బ్రాట్‌కార్ట్‌ ఎగ్జిక్యూటివ్‌ దాడి,బ్రాట్‌కార్ట్‌ ఎగ్జిక్యూటివ్‌ దాడి,An attack that attempts many possible passwords or keys until the correct one is found.,చాలావరకు సరైన పాస్ వర్డ్ లేదా కీలు కనుగొనబడేవరకు ప్రయత్నించే దాడి.,చాలావరకు సరైన పాస్ వర్డ్ లేదా కీలు కనుగొనబడేవరకు ప్రయత్నించే దాడి.
30,Denial of Service,ఎల్లవేళలా సేవ,ఎల్లవేళలా సేవ,"An attack that attempts to make a service, system, or network unavailable to intended users.","ఒక సేవ, వ్యవస్థ, లేదా నెట్వర్క్‌ అభ్యర్ధంగా వినియోగదారుని కోసం అందుబాటులోనిని దాడి.","ఒక సేవ, వ్యవస్థ, లేదా నెట్వర్క్‌ అభ్యర్ధంగా వినియోగదారుని కోసం అందుబాటులోనిని దాడి."
31,Distributed Denial of Service,పరిచర్య రిజిస్ట్రేషన్‌,పరిచర్య రిజిస్ట్రేషన్‌,A denial-of-service attack launched from multiple compromised systems or devices.,చాలా సడలిన వ్యవస్థలు లేదా పరికరాల నుండి ఒక నిరాకరణ- కార్యనిర్వహణ ఉద్భవింపబడింది.,చాలా సడలిన వ్యవస్థలు లేదా పరికరాల నుండి ఒక నిరాకరణ కార్యనిర్వహణ ఉద్భవింపబడింది.
32,Man-in-the-Middle Attack,Man-in-Med దాడులు,దాడులు,An attack in which an attacker secretly intercepts or alters communication between two parties.,దాడి చేసే వ్యక్తి రహస్యంగా జోక్యం చేసుకుంటాడు లేదా రెండు పార్టీల మధ్య సంభాషణను మార్చుకుంటాడు.,దాడి చేసే వ్యక్తి రహస్యంగా జోక్యం చేసుకుంటాడు లేదా రెండు పార్టీల మధ్య సంభాషణను మార్చుకుంటాడు.
33,SQL Injection,ఎస్.క్యు.ఏల్ (SQL) ప్రవేశము,ఎస్.క్యు.ఏల్ ప్రవేశము,An attack that inserts malicious SQL statements into an application input to manipulate a database.,డెటాబేస్ నడుపుటకు సౌలభ్య SSL ప్రకటనలను ఒక అప్లికేషన్ ఇన్‌పుట్‌లో చేర్చే దాడి.,డెటాబేస్ నడుపుటకు సౌలభ్య ప్రకటనలను ఒక అప్లికేషన్ ఇన్‌పుట్‌లో చేర్చే దాడి.
34,Cross-Site Scripting,క్రాస్- స్క్రిప్టు@ item: inlistbox Sort,క్రాస్ స్క్రిప్టు,An attack in which malicious scripts are injected into web content and executed in another user's browser.,ద్వేషపూరిత స్క్రిప్టులను వెబ్ సారములో చేర్చి మరొక యూజర్ బ్రౌజర్‌నందు నడుపుతుంది.,ద్వేషపూరిత స్క్రిప్టులను వెబ్ సారములో చేర్చి మరొక యూజర్ బ్రౌజర్‌నందు నడుపుతుంది.
35,Vulnerability,విల్నేరబుల్,విల్నేరబుల్,"A weakness in a system, application, process, or configuration that could be exploited by an attacker.","దాడిచేసే వ్యక్తిచే మోసగించబడగల వ్యవస్థ, కార్యక్రమ, లేదా ఆకృతీకరణలోని బలహీనత.","దాడిచేసే వ్యక్తిచే మోసగించబడగల వ్యవస్థ, కార్యక్రమ, లేదా ఆకృతీకరణలోని బలహీనత."
36,Exploit,కొర్నిష్color,కొర్నిష్,"A technique, code, or method used to take advantage of a vulnerability.","ఈ పద్ధతిని ఉపయోగించిన వికాస యంత్రం, కోడ్‌ లేదా పథకాన్ని ఉపయోగించారు.","ఈ పద్ధతిని ఉపయోగించిన వికాస యంత్రం, కోడ్‌ లేదా పథకాన్ని ఉపయోగించారు."
37,Security Patch,భద్రత తునక,భద్రత తునక,A software update designed to fix security vulnerabilities or weaknesses.,భద్రతా అననుకూలతలను లేదా బలహీనతలను పరిష్కరించడానికి రూపొందించబడిన సాఫ్ట్‌వేర్‌ నవీకరణ.,భద్రతా అననుకూలతలను లేదా బలహీనతలను పరిష్కరించడానికి రూపొందించబడిన సాఫ్ట్‌వేర్‌ నవీకరణ.
38,Zero-Day Vulnerability,Zero- Day Vulனர் కారణనిర్ణయం,Vulனர் కారణనిర్ణయం,A software or system vulnerability that is unknown to the party responsible for fixing it or has not yet been patched.,ఒక సాఫ్టువేర్‌ లేదా వ్యవస్థను మార్చడానికి కారణమైన పార్టీకి తెలియని లేదా ఇంకా భాగస్వామ్యం చేయబడలేదు.,ఒక సాఫ్టువేర్‌ లేదా వ్యవస్థను మార్చడానికి కారణమైన పార్టీకి తెలియని లేదా ఇంకా భాగస్వామ్యం చేయబడలేదు.
39,Multi-Factor Authentication,బహుళ- ఫాక్టర్ ధృవీకరణ,బహుళ ఫాక్టర్ ధృవీకరణ,An authentication method that requires two or more different types of verification factors.,రెండు లేక అంతకన్నా విభిన్నమైన కారకాలను అవసరమయ్యే ధృవీకరణ పద్దతి.,రెండు లేక అంతకన్నా విభిన్నమైన కారకాలను అవసరమయ్యే ధృవీకరణ పద్దతి.
40,Password,సంకేతపదం,సంకేతపదం,A secret sequence of characters used to authenticate a user or protect access to a system.,వినియోగదారిని నవీకరించుటకు లేదా వ్యవస్థ యాక్సెస్‌చేయుటకు ఉపయోగించబడిన అక్షరముల రహస్య క్రమము.,వినియోగదారిని నవీకరించుటకు లేదా వ్యవస్థ యాక్సెస్‌చేయుటకు ఉపయోగించబడిన అక్షరముల రహస్య క్రమము.
41,Biometric Authentication,బైయ్‌స్టిక్ ధృవీకరణ,బైయ్‌స్టిక్ ధృవీకరణ,"Authentication based on a person's physical or behavioral characteristics, such as a fingerprint or face.",ఒక వ్యక్తి యొక్క భౌతిక లేదా ప్రవర్తనల లక్షణాలు ఆధారంగా ధృవీకరణ ఒక వేలిముద్ర లేదా ముఖం.,ఒక వ్యక్తి యొక్క భౌతిక లేదా ప్రవర్తనల లక్షణాలు ఆధారంగా ధృవీకరణ ఒక వేలిముద్ర లేదా ముఖం.
42,Least Privilege,స్వేచ్ఛాచిత్తం,స్వేచ్ఛాచిత్తం,A security principle in which users and systems receive only the minimum access necessary to perform their tasks.,"చాలామంది తల్లిదండ్రులు తమ ఉద్యోగాలను వాయిదా వేయాల్సి ఉంటుంది, కానీ వారి కనీస అవసరాలు మాత్రం తగ్గుతాయి.","చాలామంది తల్లిదండ్రులు తమ ఉద్యోగాలను వాయిదా వేయాల్సి ఉంటుంది, కానీ వారి కనీస అవసరాలు మాత్రం తగ్గుతాయి."
43,Security Policy,భద్రతా విధానము,భద్రతా విధానము,A set of rules and guidelines that defines how an organization protects its information and systems.,"ఒక సంస్థ దాని సమాచారాన్ని, వ్యవస్థను ఎలా కాపాడిందో నిర్వచిస్తుంది.","ఒక సంస్థ దాని సమాచారాన్ని, వ్యవస్థను ఎలా కాపాడిందో నిర్వచిస్తుంది."
44,Incident Response,గుర్తించబడిన స్పందన,గుర్తించబడిన స్పందన,"The process of detecting, analyzing, containing, and recovering from cybersecurity incidents.","ఆక్యుపంక్చర్‌లో సూక్ష్మక్రిములు ఉండడం, పరీక్ష చేయడం, చికిత్స చేయడం వంటివి ఇమిడి ఉన్నాయి.","ఆక్యుపంక్చర్‌లో సూక్ష్మక్రిములు ఉండడం, పరీక్ష చేయడం, చికిత్స చేయడం వంటివి ఇమిడి ఉన్నాయి."
45,Digital Forensics,డిజిటల్ ఫోరెన్స్GenericName,డిజిటల్ ఫోరెన్స్,"The process of collecting, preserving, and analyzing digital evidence for investigation.",మీ పరిశోధన ఎలా జరుగుతోందో తెలుసుకోండి.,మీ పరిశోధన ఎలా జరుగుతోందో తెలుసుకోండి.
46,Security Audit,భద్రతా ఆడిట్,భద్రతా ఆడిట్,"A systematic examination of security controls, configurations, policies, and practices.","భద్రతా నియంత్రణలను, ఆకృతులను, విధానాలను, ఆచారాలను ఒక క్రమపద్ధతిగా పరీక్షించడం.","భద్రతా నియంత్రణలను, ఆకృతులను, విధానాలను, ఆచారాలను ఒక క్రమపద్ధతిగా పరీక్షించడం."
47,Penetration Testing,పెన్సిల్‌ టెస్టింగ్‌,పెన్సిల్‌ టెస్టింగ్‌,Authorized security testing performed to identify and demonstrate exploitable weaknesses in systems or applications.,"వ్యవస్థల లేదా అనువర్తనములలోని లాభసాధన బలహీనతలను గుర్తించడానికి, ప్రదర్శించేందుకు ధ్రువీకరించబడిన భద్రతా పరీక్షలు నిర్వహించబడ్డాయి.","వ్యవస్థల లేదా అనువర్తనములలోని లాభసాధన బలహీనతలను గుర్తించడానికి, ప్రదర్శించేందుకు ధ్రువీకరించబడిన భద్రతా పరీక్షలు నిర్వహించబడ్డాయి."
48,Personally Identifiable Information,వ్యక్తిగత డిజిటల్ సమాచారం,వ్యక్తిగత డిజిటల్ సమాచారం,Information that can be used alone or with other information to identify a specific person.,ఒక నిర్దిష్ట వ్యక్తిని గుర్తించేందుకు ఒంటరిగా లేదా ఇతర సమాచారాన్ని ఉపయోగించవచ్చు.,ఒక నిర్దిష్ట వ్యక్తిని గుర్తించేందుకు ఒంటరిగా లేదా ఇతర సమాచారాన్ని ఉపయోగించవచ్చు.
49,Social Engineering,సామాజిక ఇంజనీరింగ్‌,సామాజిక ఇంజనీరింగ్‌,The use of psychological manipulation or deception to influence people into revealing information or performing actions.,ప్రజల మనసులను స్పృశించే పద్ధతిలో లేదా మోసం ద్వారా సమాచారాన్ని వెల్లడిచేసేలా లేదా క్రియల్లో ప్రవర్తించేలా వారిని ప్రభావితం చేయవచ్చు.,ప్రజల మనసులను స్పృశించే పద్ధతిలో లేదా మోసం ద్వారా సమాచారాన్ని వెల్లడిచేసేలా లేదా క్రియల్లో ప్రవర్తించేలా వారిని ప్రభావితం చేయవచ్చు.
50,Threat,మినహాయింపు,మినహాయింపు,"A circumstance or event that could potentially harm an information system, organization, or data.","ఏదైనా సమాచారం వ్యవస్థకు, సంస్థకు లేదా సమాచారానికి హాని చేసే అవకాశం ఉంది.","ఏదైనా సమాచారం వ్యవస్థకు, సంస్థకు లేదా సమాచారానికి హాని చేసే అవకాశం ఉంది."
51,Risk,ప్రమాదం,ప్రమాదం,The possibility of loss or harm resulting from a threat exploiting a vulnerability.,నిస్పృహకు గురికాగల ప్రమాదం వల్ల నష్టపోయే అవకాశం లేదా హాని కలగవచ్చు.,నిస్పృహకు గురికాగల ప్రమాదం వల్ల నష్టపోయే అవకాశం లేదా హాని కలగవచ్చు.
52,Security Incident,భద్రతా భావం,భద్రతా భావం,"An event that may compromise the confidentiality, integrity, or availability of information or systems.","ఆంతరంగిక విషయాన్ని, యథార్థతను లేదా సమాచారాన్ని లేదా వ్యవస్థలను రాజీ పడేయగల సంఘటన.","ఆంతరంగిక విషయాన్ని, యథార్థతను లేదా సమాచారాన్ని లేదా వ్యవస్థలను రాజీ పడేయగల సంఘటన."
53,Endpoint Security,ముగింపు పాయింట్ భద్రత,ముగింపు పాయింట్ భద్రత,"Protection of devices such as computers, smartphones, and servers that connect to a network.","నెట్‌వర్క్‌తో అనుసంధానం చేసే కంప్యూటర్‌, స్మార్ట్‌ ఫోన్‌లు, సెర్వర్ల వంటి పరికరాల రక్షణ.","నెట్‌వర్క్‌తో అనుసంధానం చేసే కంప్యూటర్‌, స్మార్ట్‌ ఫోన్‌లు, సెర్వర్ల వంటి పరికరాల రక్షణ."
54,Cloud Security,మేఘ భద్రత,మేఘ భద్రత,"Policies, technologies, and controls used to protect cloud-based systems, applications, and data.","విధానాలు, సాంకేతికశాస్త్రం, మరియు నియంత్రణలు మేఘ ఆధారిత వ్యవస్థలను, అనువర్తనములను మరియు డాటాను రక్షించుటకు ఉపయోగించబడతాయి. Name","విధానాలు, సాంకేతికశాస్త్రం, మరియు నియంత్రణలు మేఘ ఆధారిత వ్యవస్థలను, అనువర్తనములను మరియు డాటాను రక్షించుటకు ఉపయోగించబడతాయి."
55,Zero Trust,జీరో విశ్వసనీయత,జీరో విశ్వసనీయత,"A security approach that continuously verifies users, devices, and access requests rather than automatically trusting them.","ఇంటెన్సివ్‌ ఫెయిత్‌ ఇన్‌స్టిట్యూట్‌ (ప్రోత్సహించేది) అనుసారంగా ఉపయోగించే వినియోగాలు, పరికరాలు, యాక్సెస్‌ చేసేవి.","ఇంటెన్సివ్‌ ఫెయిత్‌ ఇన్‌స్టిట్యూట్‌ ప్రోత్సహించేది అనుసారంగా ఉపయోగించే వినియోగాలు, పరికరాలు, యాక్సెస్‌ చేసేవి."
56,Security Monitoring,భద్రత మానిటర్,భద్రత మానిటర్,"The continuous observation of systems, networks, and events to identify suspicious or malicious activity.","అనుమానాస్పదమైన లేదా దురుద్దేశమైన కార్యకలాపాలను గుర్తించేందుకు వ్యవస్థలు, నెట్‌వర్క్‌లు లేదా సంఘటనలను పదేపదే గమనించడం జరుగుతుంది.","అనుమానాస్పదమైన లేదా దురుద్దేశమైన కార్యకలాపాలను గుర్తించేందుకు వ్యవస్థలు, నెట్‌వర్క్‌లు లేదా సంఘటనలను పదేపదే గమనించడం జరుగుతుంది."
